title,seafood,salad,cream_based,asian,baking_goods,meat,italian,mexican
Roast Beef Burritos,0,0,0,0.836290121,0,0.158742934,0,0
Moms Sushi Rice,0,0,0.990112782,0,0,0,0,0
Grilled Ham And Cheese With A Twist,0,0,0,0,0,0,0,0.986217678
Lebanese Style Red Lentil Soup,0.687225461,0,0,0,0.302906036,0,0,0
Super Spicy Pea Salad,0.686503053,0,0,0.307544172,0,0,0,0
Bistro Veal Burgers,0,0,0,0,0,0.725065053,0,0.267508984
Quick Tuna Salad,0,0,0,0,0,0,0.988485456,0
Danish Spiced Rye Bread Sigtebrod,0,0,0.289564669,0,0,0,0,0.706456125
Burly Burger,0,0,0,0,0,0,0,0.977271974
Asparagus With Gorgonzola And Roasted Walnuts,0,0,0,0,0,0,0.982842743,0
Tequila Chili,0,0,0,0.98622036,0,0,0,0
Easy Curry Couscous,0,0,0,0.988486171,0,0,0,0
Onigiri   Japanese Rice Balls,0,0,0.991335809,0,0,0,0,0
Tomato Gorgonzola Soup,0.153211072,0,0,0,0,0,0.728477955,0.1141719
Traditional Russian Pirozhki,0,0,0,0,0,0,0,0.994205177
Sloppy Sams,0,0,0,0.81198585,0,0.182598814,0,0
Taco Bean Burgers,0,0,0,0.430587202,0,0.549931884,0,0
Blue Cheese Avocado And Grape Salad,0,0,0,0,0,0,0.982842982,0
Thai Inspired Confetti Salad,0.155707881,0,0.677328289,0.160775602,0,0,0,0
Beans Greens And Garlic Soup,0,0,0,0.994205117,0,0,0,0
Sweet Restaurant Slaw,0,0,0.5549106,0,0,0,0.437663227,0
Love Mussels,0.567974389,0,0,0,0,0,0.425417423,0
Seeduction Bread,0,0,0,0,0,0,0,0.996128023
Grilled Peanut Butter Apple Sandwiches,0,0,0,0,0,0,0,0.9862203
Sun Dried Tomato And Blue Cheese Burgers,0,0,0,0,0,0.719335854,0.276402593,0
Sun Dried Tomato Basil Orzo,0,0,0,0.627463162,0,0,0.365110993,0
Roasted Cauliflower Soup,0,0,0,0,0.993682146,0,0,0
Grilled Fish Tacos With Chipotle Lime Dressing,0,0,0,0.995646656,0,0,0,0
Avocado Beet And Arugula Salad With Chevre Tartine,0,0,0,0,0,0,0.995027602,0
Grilled Gorgonzola Basil Burgers,0,0,0,0,0,0,0.986220419,0
Slow Cooker Spicy Black Eyed Peas,0,0,0,0.988486767,0,0,0,0
Cogys World Famous Matzo Balls,0,0,0,0,0.529509068,0,0.46306479,0
Prosciutto Parmesan Pasta,0,0,0,0,0.495267212,0,0.49292168,0
Shrimp Gazpacho,0.765106559,0,0,0.228940859,0,0,0,0
Sweet And Spicy Turkey Sandwich,0,0,0,0,0,0,0,0.988485217
Super Delicious Zuppa Toscana,0,0,0,0,0.563980579,0,0.430603802,0
Garbanzo Bean Salad,0.589753211,0,0,0.18656674,0,0,0,0.217491791
Yoyos Bbq Beans,0,0,0,0.6694296,0,0.32396245,0,0
Festival Style Grilled Italian Sausage Sandwiches,0,0,0,0,0,0,0.994205058,0
Okra With Tomatoes,0,0,0,0.992290616,0,0,0,0
Moms Dill Potato Salad,0,0,0,0,0.986220419,0,0,0
Danas Taco Salad,0,0,0,0.56808126,0,0,0.412437946,0
Sweet Potato White Potato Salad,0.593823075,0,0,0,0.401209921,0,0,0
Easy Tomato Basil Pizza,0,0,0,0,0,0,0.996128261,0
Slimmed Down Potato Salad,0.867685556,0,0,0,0,0,0,0.127727285
Barbeque Potato Salad,0,0,0,0,0.982842982,0,0,0
Macaroni Salad With A Twist,0.677920461,0,0,0.316663921,0,0,0,0
Tropical Mango And Pineapple Paradise Salsa,0.988484859,0,0,0,0,0,0,0
Easy Speedy Corn Muffins,0,0,0,0,0,0,0,0.990112543
Asian Coleslaw Light,0,0,0.993681788,0,0,0,0,0
Colombian Stewed Flank,0,0,0,0.993681967,0,0,0,0
Curtido El Salvadoran Cabbage Salad,0,0,0.988486707,0,0,0,0,0
Killer Bacon Cheese Dogs,0,0,0,0,0,0.688677788,0,0.303896219
Red Bliss Potato Salad With Gorgonzola And Walnuts,0,0,0,0,0.383603603,0,0.609787941,0
Brazilian White Rice,0,0,0.99011296,0,0,0,0,0
The Earls Sandwich,0,0,0,0,0,0,0,0.986218572
Fresh Dill Pasta Salad,0.879738986,0,0,0.115294024,0,0,0,0
Cilantro Avocado Tomato And Feta Salad,0.992290616,0,0,0,0,0,0,0
Herbed Rice And Spicy Black Bean Salad,0,0,0,0.995028377,0,0,0,0
Sliced Tomatoes With Fresh Herb Dressing,0,0,0,0,0,0,0.993055463,0
Savory Halibut Enchiladas,0,0,0,0.501072109,0,0,0.415929317,0.078859471
Slow Cooker German Style Pork Roast With Sauerkraut And Potatoes,0,0,0,0,0.33765465,0.653870344,0,0
The Worlds Greatest Crab Recipe,0,0,0.966342628,0,0,0,0,0
Cape Cod Turkey Salad,0.346678495,0,0,0,0.464721501,0,0,0.183093205
Hot Banana Salsa,0,0,0.375787199,0.618259966,0,0,0,0
Sugar Toasted Almond Spinach Salad,0,0,0,0,0,0,0.611297548,0.38373515
Marinated Green Beans With Olives Tomatoes And Feta,0,0,0,0,0,0,0.993055224,0
Grilled Italian Sausage With Marinated Tomatoes,0,0,0,0,0,0,0.995357692,0
Roasted Vegetable Stock,0,0,0,0.994205296,0,0,0,0
Oven Spamr Sandwiches,0,0,0,0,0,0,0.986217618,0
Spinach Basil Pasta Salad,0,0,0,0,0,0,0.991336465,0
Aw Some Coleslaw,0.447039485,0,0,0,0.546352386,0,0,0
Vegan Friendly Falafel,0.279450923,0,0,0.553497255,0,0,0,0.163229138
My Moms Good Old Potato Salad,0.988486707,0,0,0,0,0,0,0
Thai Curry Soup,0,0,0.995028257,0,0,0,0,0
Spiced Slow Cooker Applesauce,0,0,0,0,0,0,0,0.982842505
Easiest Mac N Cheese Ever,0,0,0,0,0,0,0,0.977272689
Tomato And Bread Soup,0,0,0,0,0.195464328,0,0.80055666,0
Slow And Easy Beef Stock,0,0,0,0,0.977271318,0,0,0
Fresh Mint And Cilantro Melon Salad,0.53205359,0,0,0,0,0,0,0.439098895
Kyles Favorite Beef Stew,0,0,0,0,0.892593861,0.104261406,0,0
Easy Cold Pasta Salad,0,0,0,0,0,0,0.990112782,0
Swabian Meatballs Fleischkuechle,0,0,0,0,0.993682086,0,0,0
Beer Brats,0,0,0,0.986220419,0,0,0,0
Spicy Pimento Cheese Sandwiches With Avocado And Bacon,0,0,0,0,0,0,0.995646536,0
The Best Chicken Fried Steak,0,0,0,0.504063308,0,0.015161035,0,0.47722438
Roasted Garlic Flat Iron Steak,0,0,0,0,0,0,0.990112901,0
Wedge Salad With Elegant Blue Cheese Dressing,0,0,0,0,0,0,0.992290139,0
Jennys Sweet Waldorf Salad,0,0,0,0,0,0,0,0.988485694
Slow Cooker Barbequed Pork For Sandwiches,0,0,0,0,0,0.994205177,0,0
Tarte A Loignon French Onion Pie,0,0,0,0,0.310027361,0,0,0.682546794
Spicy Sweet Potato And Coconut Soup,0,0,0.904292941,0,0.09144561,0,0,0
Smoked Salmon Chowder,0.31545043,0,0,0.216141522,0.465480506,0,0,0
Tostones,0,0,0.986218691,0,0,0,0,0
Superior Shores Slaw,0,0,0.724611521,0,0.265519708,0,0,0
Strawberry Summer Salad,0,0,0.59339422,0,0,0,0.394793659,0
Spaghetti Squash With Pine Nuts Sage And Romano,0,0,0,0,0,0,0.990112185,0
Turkey Sandwiches With Cranberry Sauce,0,0,0,0,0,0,0.982842743,0
Moms Easy Creamed Chipped Beef On Toast,0,0,0,0,0.339957714,0,0,0.651567638
Hodies Sloppy Joes,0,0,0,0,0,0.982842982,0,0
Venison Gyros,0,0,0,0,0,0.982839882,0,0
No Cook Poor Mans Caviar,0.215700597,0,0,0.780980766,0,0,0,0
School Lunch Bagel Sandwich,0.535220802,0,0,0,0,0,0.456304312,0
Brussels Sprouts And Barley Soup,0,0,0,0.606724143,0,0,0,0.387322128
Colorado Buffalo Chili,0,0,0,0.994205236,0,0,0,0
Pasta Deli Salad,0,0,0,0,0,0,0.988486767,0
Sweet Pork Slow Cooker Chili,0,0,0,0.595339954,0,0.401671797,0,0
Coconut Curry Pumpkin Soup,0,0,0.992290199,0,0,0,0,0
Crab Legs With Garlic Butter Sauce,0,0,0,0,0.977272689,0,0,0
Pear And Prosciutto Pizza,0,0,0,0,0,0,0.840659261,0.15619573
Flat Iron Grilled,0.500445724,0,0.49360171,0,0,0,0,0
Fresh Guacamole,0,0,0,0.990112901,0,0,0,0
Classic Lasagna,0,0,0,0,0,0,0.995901644,0
Maurice Salad,0.745050669,0,0,0,0,0,0,0.251436234
Raspberry Walnut Baked Brie,0,0,0,0,0,0,0,0.966345906
Chayote Soup,0,0,0,0.632151961,0.361894608,0,0,0
Shrimp Asopao,0,0,0,0.994204998,0,0,0,0
Toasted Almond Green Bean Salad,0,0,0,0,0,0,0.982842982,0
Lunch Box Hot Hot Dogs,0,0,0,0,0,0.702232242,0.283061564,0
Cheddar Chipotle Bread On A Pizza Stone,0,0,0,0,0,0.45318979,0,0.540857673
Summer Grilled Cabbage,0,0,0,0.986220241,0,0,0,0
Delicious Beef Tongue Tacos,0,0,0,0.994205117,0,0,0,0
Pina Colada Salad,0,0,0,0,0,0,0,0.986219347
Rustic Sausage Pasta,0,0,0,0.48109144,0,0,0.515177131,0
Peanut Butter Bacon And Apple Sandwiches,0,0,0,0,0,0,0,0.966346085
Across The Border Tequila Shrimp,0.982842922,0,0,0,0,0,0,0
Richard And Suzannes Louisiana Crawfish Pasta,0,0,0,0.992290199,0,0,0,0
Slow Cooker Machaca,0,0,0,0.982842982,0,0,0,0
My Favorite Pork Turkey Meatloaf,0,0,0,0,0,0.400662631,0.593922079,0
Richard And Suzannes Famous Red Beans And Sausage,0,0,0,0.995028377,0,0,0,0
Turkey Garbanzo Bean And Kale Soup With Pasta,0,0,0,0.805032134,0.190988809,0,0,0
Espinacas Con Garbanzos Spinach With Garbanzo Beans,0,0,0,0.991336584,0,0,0,0
Grilled Mussels With Curry Butter,0.990112484,0,0,0,0,0,0,0
Easy Cucumber Salad,0,0,0,0,0,0,0.97727257,0
Sausage Pepper And Onion Sandwiches,0,0,0,0.551213682,0,0.275730878,0.168915883,0
Grilled Cheese Pickle And Vidalia Onion Sandwich,0.554254353,0,0,0,0,0,0,0.438319743
Beef On Weck,0,0,0,0,0,0.98848629,0,0
Nonies Best Bbq,0.433845907,0,0,0,0,0.557679415,0,0
Leftover Dog Pile,0,0,0,0.291930854,0,0,0,0.698200405
Simply Guacamole,0.986220002,0,0,0,0,0,0,0
Super Seven Spinach Salad,0,0,0.505823553,0,0,0,0.484306663,0
Byrdhouse Marinated Tomatoes And Mushrooms,0,0,0,0,0,0,0.9862203,0
Spring Asparagus Salad,0.255578369,0,0.740442753,0,0,0,0,0
Escarole Soup,0,0,0,0.991336584,0,0,0,0
Pbm Sandwich,0,0,0,0,0,0,0,0.988485277
Hot Dog Roll Up,0,0,0,0,0,0,0,0.982842267
Veggie And Cilantro Hummus Sandwiches,0.559668958,0,0.256354451,0,0,0,0.180425227,0
Ham Salad Ii,0.493695557,0,0,0.498878539,0,0,0,0
Spicy Albondigas,0,0,0,0.993055522,0,0,0,0
Egg Salad Iii,0.977272272,0,0,0,0,0,0,0
Vegetarian Chickpea Sandwich Filling,0.737238407,0,0,0.255335778,0,0,0,0
Pea Jicama And Cashew Salad,0,0,0.923597455,0,0.073257789,0,0,0
Red White And Blue Burgers,0,0,0,0,0,0,0.678914905,0.306378692
Honey Bean Salad,0,0,0,0,0,0.472623795,0.521960974,0
Lentil And Buckwheat Salad,0.277122021,0,0,0.720577061,0,0,0,0
Mayan Couscous,0,0,0,0.995028377,0,0,0,0
Thai Cucumber Salad,0,0,0.988486648,0,0,0,0,0
Cream Cheese And Crab Sushi Rolls,0,0,0.716467559,0,0.278565139,0,0,0
Roasted Garlic Potato Soup With Smoked Salmon,0.316174001,0,0,0,0.679238796,0,0,0
Guacamole Salad,0,0,0,0.995646715,0,0,0,0
Avocado Egg Salad,0.992290616,0,0,0,0,0,0,0
Sweet And Spicy Tuna Salad,0,0,0.986219764,0,0,0,0,0
Blue Cheese Coleslaw,0,0,0,0,0,0,0.99228996,0
Quinoa Vegetable Salad,0,0,0,0.803098083,0,0,0.193389013,0
Hummus And Prosciutto Wrap,0,0,0,0,0,0,0.986219466,0
Russian Carrot Salad,0.982842326,0,0,0,0,0,0,0
Chef Scotts Pico De Gallo,0,0,0,0.993055522,0,0,0,0
Zingy Pesto Tuna Wrap,0,0,0,0.697215736,0,0,0,0.292915761
Summers Best Salad,0,0,0,0.99011296,0,0,0,0
Double Decker Tacos,0,0,0,0.715293169,0.280119479,0,0,0
Ultimate Grilled Cheese Sandwich,0,0,0,0,0,0,0,0.991336286
Turkey Bone Soup,0,0,0,0.994648039,0,0,0,0
Greek Pasta Salad,0,0,0,0,0,0,0.995028377,0
Wheres The Tuna Salad,0.991336584,0,0,0,0,0,0,0
Feta Stuffed Hamburgers,0,0,0,0,0,0,0.982843041,0
Campbellsr Slow Cooked Pulled Pork Sandwiches,0,0,0,0,0,0.992290378,0,0
Cabbage And Smoked Sausage Pasta,0,0,0,0,0,0,0.993055105,0
Millys Tuna On A Shoestring,0.98284018,0,0,0,0,0,0,0
Crescent Dogs,0,0,0,0,0,0,0,0.982841015
Cucumber Sandwich,0,0,0,0,0,0,0.99228996,0
Hearty Ranch And Bacon Potato Soup,0,0,0,0,0.834789634,0,0,0.160623133
Egg Pesto Breakfast Wrap,0,0,0,0.45565477,0,0,0.422009259,0.117375553
Apple Walnut Salad,0,0,0,0,0,0,0,0.98848635
Fruit Veggie And Tuna Salad Wrap,0,0,0,0,0,0,0.14201358,0.850560069
Mexican Bean And Rice Salad,0,0,0,0.99535805,0,0,0,0
Pesto Shrimp Sandwich,0,0,0,0,0,0,0.982842863,0
Turkey And Provolone Sandwiches,0,0,0,0,0,0,0.98848635,0
Chipotle And Roasted Corn Salsa,0,0,0,0.994647443,0,0,0,0
Pesto Grilled Cheese Sandwich,0,0,0,0,0,0,0.649306238,0.342219025
Curried Butternut Squash And Pear Soup,0,0,0.574155629,0,0.420428753,0,0,0
Kimchi Jun Kimchi Pancake And Dipping Sauce,0,0,0.914009213,0,0,0,0,0.081729367
Arugula Salad With Cannellini Beans,0,0,0,0.207876906,0,0,0.786170602,0
Turkey Bacon Avocado Sandwich,0,0,0,0,0,0,0.99228996,0
Pressure Cooker Chili,0,0,0,0.995901585,0,0,0,0
Guaco Tacos,0,0,0,0.994646788,0,0,0,0
Moms Easy Pea Salad,0,0,0,0,0,0,0.991335094,0
Jerres Black Bean And Pork Tenderloin Slow Cooker Chili,0,0,0,0,0,0.977272689,0,0
Greek Alicious Pasta Salad,0.304542214,0,0,0.686982572,0,0,0,0
Island Style Fried Rice,0,0,0,0,0,0.41589427,0.577497423,0
Green Hot Sauce Salsa Verde,0,0,0,0.982843041,0,0,0,0
One Egg Egg Drop Soup,0,0,0.352179199,0,0.640395045,0,0,0
Southern Dill Potato Salad,0.578304172,0,0,0,0.41771698,0,0,0
Turkey Avocado Panini,0,0,0,0,0,0,0.982843041,0
Curried Tofu Salad,0.23089996,0,0.763147175,0,0,0,0,0
Virginas Tuna Salad,0.977272272,0,0,0,0,0,0,0
Mayo Free Tuna Sandwich Filling,0,0,0,0.99011147,0,0,0,0
Portabella Basil Sub,0.310412049,0,0,0.434212089,0,0,0.252059847,0
Broiled Reuben Sandwich,0,0,0,0,0,0,0,0.98848623
Chunky And Creamy Potato Salad,0,0,0,0,0,0,0,0.993055165
Blt,0,0,0,0,0,0,0,0.977272272
Leek And Fennel Soup,0,0,0,0.242528528,0.660986543,0,0,0.092661999
The Original Donair From The East Coast Of Canada ,0,0,0,0,0,0,0.779507935,0.212016612
Stuffy,0,0,0,0,0,0.966339707,0,0
Turkey Wild Rice Soup Ii,0.258900732,0,0,0,0.735684037,0,0,0
Sweet Leftover Turkey Salad,0,0,0.717965007,0.270223439,0,0,0,0
White And Gold Pizza,0,0,0,0,0,0,0.993055344,0
Cbs Black Eyed Peas,0,0,0,0.982843041,0,0,0,0
New Year Black Eyed Peas,0,0,0,0.99420464,0,0,0,0
Beef And Swiss Wrap,0,0,0,0,0,0.133749008,0.860298276,0
Mikes Mushroom Bread,0,0,0,0,0,0,0.990112901,0
Sunday Afternoon Slow Cooked Spare Ribs,0.229213089,0,0,0,0,0.764178813,0,0
Tortilla Espanola,0,0,0,0,0,0,0.994648159,0
Lasagna Stuffed Mushrooms,0,0,0,0,0,0,0.994205177,0
Quick And Easy Pimento Cheese,0,0,0,0,0,0,0.990112722,0
Sweet And Savory Slow Cooker Pulled Pork,0,0,0.100322537,0,0,0.893724978,0,0
Irish Potato Soup,0,0,0,0,0.988486767,0,0,0
Traditional Indiana Breaded Tenderloin Sandwich ,0.500702381,0,0,0,0,0.258480787,0,0.238051251
Killer Chili,0,0,0,0.997093022,0,0,0,0
Overnight Asparagus Mushroom Strata,0.175631404,0,0,0,0,0,0.594061255,0.226991385
American Turkey Tacos,0,0,0,0,0,0,0.992289245,0
Chakchouka Shakshouka,0,0,0,0.710978687,0,0,0.282413304,0
Imas Potato Salad,0.731923878,0,0,0,0.26310876,0,0,0
Saint Paddys Irish Sandwich,0,0,0,0,0,0.303807408,0.485877961,0.206491634
Hobo Beef And Vegetable Soup,0,0,0,0.482590854,0.513147652,0,0,0
Caprese On A Stick,0,0,0,0,0,0,0.991336346,0
Hawaiian Bruddah Potato Mac Macaroni Salad,0,0,0.40756315,0,0.587469876,0,0,0
Ham And Beans And More,0,0,0,0.203512266,0.791520655,0,0,0
Mother In Law Eggs,0.990112007,0,0,0,0,0,0,0
Bacon Deviled Eggs,0,0,0,0,0,0,0,0.935182989
Shrimp Deviled Eggs,0.994205236,0,0,0,0,0,0,0
Garlic Basil And Bacon Deviled Eggs,0,0,0,0,0,0,0.991336584,0
Fabulous Fargozas,0,0,0,0,0.382152766,0,0,0.611894786
Roasted Carrot Salad,0,0,0.572478771,0,0,0,0.42325893,0
Turkey And Bacon Panini With Chipotle Mayonnaise,0,0,0,0,0,0.49884823,0.496890187,0
Philly Cheese Steak,0,0,0,0,0,0,0.98848331,0
Beaumont Ranch Potato Salad,0.676745474,0,0,0,0,0,0.317839295,0
Fried Monte Cristo Sandwich,0,0,0,0,0,0,0,0.995028138
Shrimp Po Boys,0.310373634,0,0.364286482,0,0,0,0,0.322411984
Out Of The Hat Rice,0.377542794,0,0,0.615031302,0,0,0,0
Soft N Fluffy Hamburger Buns,0,0,0,0,0,0,0,0.992290437
Steak Soup,0,0,0,0.243131027,0.753550351,0,0,0
Giselas Butternut Squash Soup,0,0,0,0,0.99011296,0,0,0
Cilantro Tabouli,0.433805645,0,0,0.560240924,0,0,0,0
Sloppied Flank Steak Sandwiches,0,0,0,0,0,0.991336584,0,0
Mountain Mamas Potato Pancakes,0,0,0,0,0.438982368,0,0.556429505,0
Ranch Bacon And Parmesan Pasta Salad,0,0,0,0,0.467471093,0,0,0.52071619
Easy Green Chile Stew,0,0,0,0.991335392,0,0,0,0
Mayo Free Potato Salad ,0.993682265,0,0,0,0,0,0,0
Mothers Potato Salad,0.791452944,0,0,0,0.203959316,0,0,0
California Potato Salad,0.345873296,0,0.126927495,0,0,0,0.522238731,0
Potato Salad Deviled Eggs,0.988486528,0,0,0,0,0,0,0
Grandma Bellows Lemony Shrimp Macaroni Salad With Herbs,0.992290676,0,0,0,0,0,0,0
Roasted Potato Salad With Balsamic Dressing,0.488159806,0,0,0,0,0,0.508327246,0
Ukrainian Salat Vinaigrette Beet Salad,0.993682146,0,0,0,0,0,0,0
Sloppy Joe Pockets,0,0,0,0,0.986219704,0,0,0
Christys Awesome Hot Ham And Cheese,0,0,0,0,0,0,0,0.992290437
Grilled Portobello With Basil Mayonnaise Sandwich,0.613856375,0,0,0,0,0,0.380190939,0
Summer Anytime Crisp Corn Salad,0,0,0,0.856961608,0,0.138071448,0,0
Sesame Noodle Salad,0,0,0.992290497,0,0,0,0,0
Farro Salad With Asparagus And Parmesan,0,0,0,0,0,0,0.991336167,0
Grilled Corn Salad,0,0,0,0.991336644,0,0,0,0
Heirloom Tomato Salad With Pearl Couscous,0.094722278,0,0,0,0,0,0.901298285,0
Shrimp And Pineapple Ceviche,0,0,0,0.991336167,0,0,0,0
Watermelon And Tomato Salad,0.159231633,0,0,0,0,0,0.834160447,0
Thai Style Cucumber Salad,0,0,0.992290616,0,0,0,0,0
Triple Decker Grilled Shrimp Blt With Avocado And Chipotle Mayo,0.807182312,0,0,0,0,0.188230067,0,0
Sugar Snap Pea Salad Ii,0,0,0,0,0,0,0.993055463,0
Strawberry Melon Summer Salad,0.24347049,0.741822541,0,0,0,0,0,0
Diner Style Baked Potato Home Fries,0,0,0,0,0.986220419,0,0,0
Grilled Portobello Sandwich With Roasted Red Pepper And Mozzarella,0,0,0,0,0,0,0.993682206,0
Taco Slaw,0,0,0,0.982842803,0,0,0,0
Almond Citrus Couscous,0.312816203,0,0,0.409528494,0.27488935,0,0,0
Refreshing Lentil Salad,0.312491953,0,0,0.684189439,0,0,0,0
Kickin Spicy Turkey Beer Chili,0,0,0,0.563823462,0,0.433684677,0,0
Hearty Vegan Slow Cooker Chili,0,0,0,0.996829689,0,0,0,0
Zucchini E Pomodori Gratinati Zucchini And Tomato Gratin,0,0,0,0,0,0,0.992290616,0
Lunch Box Pita Pockets,0,0,0.935181975,0,0,0,0,0
Berry Fruit Salad,0,0.786035359,0,0,0,0,0,0.20215264
Warm Green Bean And Potato Salad With Goat Cheese,0,0,0,0.714237332,0,0,0.279154301,0
Salade Lyonnaise,0,0,0,0,0,0,0.995646358,0
Cool Cucumber And Avocado Salad,0,0,0,0.99229008,0,0,0,0
Cucumber Melon Salsa,0,0,0,0.993680716,0,0,0,0
Cucumber Tomato Salad With Zucchini And Black Olives In Lemon Balsamic Vinaigrette,0,0,0,0.519696593,0,0,0.476041973,0
Blue Cucumber Salad,0,0,0,0,0,0,0.990112782,0
Veggie Bulgur Salad Kisir,0.447049707,0,0,0.549805403,0,0,0,0
Mozzarella Basil Bread,0,0,0,0,0,0,0.293015003,0.701032519
Baked Potato Salad,0.225796387,0,0,0,0.765728891,0,0,0
Vegan Arepas Made With Polenta,0,0,0,0.994204104,0,0,0,0
Mexican Blackened Corn,0,0,0,0.992290676,0,0,0,0
Spicy Dill Potato Salad,0.345601767,0,0,0,0.183892727,0.467578053,0,0
Grilled Sweet Onions,0.404500276,0,0,0,0,0,0,0.580793142
Grapefruit And Avocado Salad ,0.988485157,0,0,0,0,0,0,0
Spaghetti Tacos,0,0,0,0,0,0,0.977271855,0
Tinas Halloween Quesadillas ,0,0,0,0.982842803,0,0,0,0
Kids Octopus Soup,0,0,0,0,0.780927956,0.204364851,0,0
Mexican Goulash,0,0,0,0.99011147,0,0,0,0
Garlic Bread Spread,0,0,0,0,0,0,0.99228996,0
Karens First Place Chili,0,0,0,0.843360722,0,0.150031298,0,0
Tuscan Smoked Turkey Bean Soup,0,0,0,0.992290735,0,0,0,0
Pammys Slow Cooker Beans,0,0,0,0.99011296,0,0,0,0
Split Pea Smoked Turkey Soup,0,0,0,0,0.988486767,0,0,0
Tams Black Eye Peas,0,0,0,0,0.838348866,0,0,0.15504317
Smoked Turkey Split Pea Soup,0,0,0.198913038,0,0.797573984,0,0,0
Old Mans Turkey Noodle Soup,0,0,0,0,0.994648278,0,0,0
Southern Yank Pulled Pork Bbq,0,0,0,0,0,0.995028198,0,0
Dripping Roast Beef Sandwiches With Melted Provolone,0,0,0,0,0.186369687,0.653305233,0,0.156185552
Easy Money Breakfast Burritos,0,0,0,0,0,0,0,0.99368161
Easy Homemade Beef And Ricotta Ravioli,0,0,0,0,0,0,0.991336644,0
Day After Thanksgiving Turkey Pho,0,0,0.996330798,0,0,0,0,0
Spicy Tuna Sandwich,0.539660871,0,0,0,0,0,0.454923749,0
Grilled Bacon Apple Sandwich,0,0,0,0,0,0,0,0.991336584
Antipasto Salad Ii,0,0,0,0,0,0,0.995028198,0
Black Bean Soup With Bacon,0,0,0,0.665415466,0.330853134,0,0,0
Brown Sugar Brats,0,0,0,0,0,0,0,0.988485694
Pittsburgh Sandwich,0,0,0.479638159,0,0.167924717,0,0.348614395,0
Pittsburgh Ham Barbecue Sandwich,0.356867105,0,0,0,0,0.63718015,0,0
Spinach And Bacon Quiche,0,0,0,0,0,0.17663157,0.817953229,0
Grilled Turkey Reuben Sandwiches,0,0,0,0,0,0,0,0.990111947
